Model,City,Year,BodyType,milage range,Stroke,Mileage,Price,price in word
Honda CD 70,Lahore,2018,Standard,between 40001 to 60000,4 Stroke,42652,85000,From Sixty Thousand To Ninty Thousand
Honda CG 125,Lahore,2012,Standard,between 200001 to 40000,4 Stroke,32500,115000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CD 70,Rawalpindi,2020,Standard,between 1 to 20000,4 Stroke,17000,130000,From One Lac Twenty Thousand To  One Lac Fifty Thousand
Honda CG 125,Rawalpindi,2007,Standard,between 1 to 20000,4 Stroke,12345,87000,From Sixty Thousand To Ninty Thousand
Honda CD 70,Lahore,2023,Standard,between 1 to 20000,4 Stroke,5200,129000,From One Lac Twenty Thousand To  One Lac Fifty Thousand
Honda CD 70,Lahore,2021,Standard,between 200001 to 40000,4 Stroke,24600,110000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CG 125,Lahore,2021,Standard,between 1 to 20000,4 Stroke,18000,190000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CG 125,Karachi,2018,Standard,between 200001 to 40000,4 Stroke,22000,120000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CD 70,Karachi,2023,Standard,between 1 to 20000,4 Stroke,5000,156000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CG 125,Rawalpindi,2012,Standard,between 200001 to 40000,4 Stroke,40000,95000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CD 70,Lahore,2016,Standard,between 1 to 20000,4 Stroke,10000,80000,From Sixty Thousand To Ninty Thousand
Honda CD 70,Lahore,2022,Standard,between 200001 to 40000,4 Stroke,25500,125000,From One Lac Twenty Thousand To  One Lac Fifty Thousand
Honda CG 125,Karachi,2018,Standard,between 1 to 20000,4 Stroke,15000,120000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CD 70,Rawalpindi,2019,Standard,between 1 to 20000,4 Stroke,1175,115000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CG 125,Rawalpindi,2020,Standard,between 200001 to 40000,4 Stroke,28000,167000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CD 70,Rawalpindi,2019,Standard,between 200001 to 40000,4 Stroke,25000,90000,From Sixty Thousand To Ninty Thousand
Honda CG 125,Rawalpindi,2022,Standard,between 1 to 20000,4 Stroke,7080,220000,From Two Lac Ten Thousand To  Two Lac Fourty Thousand
Honda CD 70,Lahore,2017,Standard,between 40001 to 60000,4 Stroke,48000,75000,From Sixty Thousand To Ninty Thousand
Honda CG 125,Lahore,2023,Standard,between 1 to 20000,4 Stroke,834,285000,From Two Lac Seventy Thousand To  Three Lac 
Honda CG 125,Rawalpindi,2022,Standard,between 1 to 20000,4 Stroke,8500,187000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CD 70,Lahore,2022,Standard,between 1 to 20000,4 Stroke,6500,115000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CG 125,Rawalpindi,2022,Standard,between 1 to 20000,4 Stroke,4400,210000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CG 125,Lahore,2022,Standard,between 1 to 20000,4 Stroke,12593,245000,From Two Lac Fourty Thousand To  Two Lac Seventy Thousand
Honda CG 125,Karachi,2022,Standard,between 1 to 20000,4 Stroke,3821,270000,From Two Lac Fourty Thousand To  Two Lac Seventy Thousand
Honda CG 125,Rawalpindi,2022,Standard,between 1 to 20000,4 Stroke,12000,188000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CG 125,Rawalpindi,2023,Standard,between 1 to 20000,4 Stroke,3500,258000,From Two Lac Fourty Thousand To  Two Lac Seventy Thousand
Honda CG 125,Rawalpindi,2019,Standard,between 200001 to 40000,4 Stroke,30000,178000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CD 70,Lahore,2022,Standard,between 1 to 20000,4 Stroke,13200,110000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CG 125,Rawalpindi,2019,Standard,between 40001 to 60000,4 Stroke,45000,150000,From One Lac Twenty Thousand To  One Lac Fifty Thousand
Honda CG 125,Rawalpindi,2022,Standard,between 1 to 20000,4 Stroke,8100,172000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CD 70,Rawalpindi,2014,Standard,between 200001 to 40000,4 Stroke,36000,74000,From Sixty Thousand To Ninty Thousand
Honda CG 125,Lahore,2020,Standard,between 1 to 20000,4 Stroke,5000,155000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CD 70,Karachi,2020,Standard,between 1 to 20000,4 Stroke,800,95000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CD 70,Lahore,2023,Standard,between 1 to 20000,4 Stroke,6900,135000,From One Lac Twenty Thousand To  One Lac Fifty Thousand
Honda CG 125,Lahore,2022,Standard,between 1 to 20000,4 Stroke,13000,185000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CD 70,Rawalpindi,2023,Standard,between 1 to 20000,4 Stroke,7000,135000,From One Lac Twenty Thousand To  One Lac Fifty Thousand
Honda CG 125,Lahore,2022,Standard,between 1 to 20000,4 Stroke,10900,160000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CD 70,Lahore,2021,Standard,between 1 to 20000,4 Stroke,14707,120000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CG 125,Rawalpindi,2021,Standard,between 1 to 20000,4 Stroke,26,215000,From Two Lac Ten Thousand To  Two Lac Fourty Thousand
Honda CG 125,Rawalpindi,2022,Standard,between 1 to 20000,4 Stroke,5500,198000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CG 125,Karachi,2022,Standard,between 1 to 20000,4 Stroke,5727,198000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CG 125,Rawalpindi,2019,Standard,between 1 to 20000,4 Stroke,10000,165000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CG 125,Karachi,2020,Standard,between 1 to 20000,4 Stroke,18400,180000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CG 125,Rawalpindi,2017,Standard,between 1 to 20000,4 Stroke,12345,110000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CD 70,Karachi,2023,Standard,between 1 to 20000,4 Stroke,2,118000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CG 125,Lahore,2013,Standard,between 40001 to 60000,4 Stroke,45000,95000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CG 125,Lahore,2015,Standard,between 1 to 20000,4 Stroke,1,105000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CD 70,Lahore,2023,Standard,between 1 to 20000,4 Stroke,3000,145000,From One Lac Twenty Thousand To  One Lac Fifty Thousand
Honda CG 125,Lahore,2022,Standard,between 1 to 20000,4 Stroke,12000,170000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CD 70,Rawalpindi,2022,Standard,between 1 to 20000,4 Stroke,14440,137000,From One Lac Twenty Thousand To  One Lac Fifty Thousand
Honda CD 70,Lahore,2022,Standard,between 1 to 20000,4 Stroke,8500,114000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CD 70,Lahore,2020,Standard,between 1 to 20000,4 Stroke,14526,92000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CG 125,Lahore,2020,Standard,between 200001 to 40000,4 Stroke,34000,160000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CG 125,Rawalpindi,2021,Standard,between 200001 to 40000,4 Stroke,25630,192000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CG 125,Lahore,2022,Standard,between 1 to 20000,4 Stroke,6500,203000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CG 125,Karachi,2022,Standard,between 1 to 20000,4 Stroke,6000,140000,From One Lac Twenty Thousand To  One Lac Fifty Thousand
Honda CG 125,Rawalpindi,2022,Standard,between 1 to 20000,4 Stroke,2200,195000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CG 125,Rawalpindi,2005,Standard,between 1 to 20000,4 Stroke,258,52000,From Thirty Thousand To Sixty Thousand
Honda CG 125,Lahore,2023,Standard,between 1 to 20000,4 Stroke,6000,210000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CD 70,Lahore,2023,Standard,between 1 to 20000,4 Stroke,4000,145000,From One Lac Twenty Thousand To  One Lac Fifty Thousand
Honda CG 125,Rawalpindi,2023,Standard,between 1 to 20000,4 Stroke,3350,210000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CG 125,Karachi,2022,Standard,between 1 to 20000,4 Stroke,7000,200000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
